Names,Prices,Link,Image Link
"
                                HP Pavilion 15-EG0011NT 2X9J4EA i5-1135G7 8 GB 512 GB SSD 2 GB MX350 15.6"" W10H Dizüstü Bilgisayar","7.599,00
                TL
",https://www.n11.com/urun/hp-pavilion-15-eg0011nt-2x9j4ea-i5-1135g7-8-gb-512-gb-ssd-2-gb-mx350-156-w10h-dizustu-bilgisayar-1952505?magaza=indirim-yeri,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-15-eg0011nt-2x9j4ea-i5-1135g7-8-gb-512-gb-ssd-2-gb-mx350-156-w10h-dizustu-bilgisayar__1239707573896817.jpg
"
                                MSI GF63 Thin 10SC-008XTR i5-10300H 8 GB 256 GB SSD 4 GB GTX1650 15.6"" Free Dos FHD Dizüstü Bilgisayar","7.799,00
                TL
",https://www.n11.com/urun/msi-gf63-thin-10sc-008xtr-i5-10300h-8-gb-256-gb-ssd-4-gb-gtx1650-156-free-dos-fhd-dizustu-bilgisayar-1836436?magaza=centralteknoloji,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/msi-gf63-thin10sc-008xtr-i5-10300h-8-gb-256-gb-ssd-4-gb-gtx1650-156-free-dos-dizustu-bilgisayar__1228962982574848.jpg
"
                                HP Pavilion Gaming 15-DK1010NT 1U5T0EA i7-10750H 8 GB 512 GB SSD 4 GB GTX1650Ti Dos Dizüstü Bilgisayar","9.649,00
                TL
",https://www.n11.com/urun/hp-pavilion-gaming-15-dk1010nt-1u5t0ea-i7-10750h-8-gb-512-gb-ssd-4-gb-gtx1650ti-dos-dizustu-bilgisayar-2004626?magaza=teknoryabilisim,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-gaming-15-dk1010nt-1u5t0ea-i7-10750h-8-gb-512-gb-ssd-4-gb-gtx1650ti-dos-dizustu-bilgisayar__1055186083084769.jpg
"
                Lenovo 82C500R1TX-8G i5-1035G1 8 GB 256 GB 15.6"" Free Dos Dizüstü Bilgisayar","5.899,50
                TL
",https://www.n11.com/urun/lenovo-82c500r1tx-8g-i5-1035g1-8-gb-256-gb-156-free-dos-dizustu-bilgisayar-1798793?magaza=online-bilisim,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-82c500r1tx-8g-i5-1035g1-8-gb-256-gb-156-free-dos-dizustu-bilgisayar__0277137861737173.png
"
                                Lenovo V155 82C7001GTX Ryzen 3-3250U 4 GB RAM 1 TB HDD 15.6'' Free Dos Dizüstü Bilgisayar","3.399,99
                TL
",https://www.n11.com/urun/lenovo-v155-82c7001gtx-ryzen-3-3250u-4-gb-ram-1-tb-hdd-156-free-dos-dizustu-bilgisayar-1718077?magaza=dtpazara-s,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v155-82c7001gtx-ryzen-3-3250u-4-gb-ram-1-tb-hdd-156-free-dos-dizustu-bilgisayar__0176082100999286.jpg
"
                                HP 255 G7 2M3E3ES Ryzen 5-3500U 4 GB 256 GB SSD 15.6"" Free Dos HD Dizüstü Bilgisayar","3.949,99
                TL
",https://www.n11.com/urun/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-256-gb-ssd-156-free-dos-hd-dizustu-bilgisayar-1701086?magaza=butcemegore,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-ram-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0213651430625214.jpg
"
                HP 15-EC0020NT 9ET67EA Ryzen 7-3750H 6 GB GTX1660Ti 8 GB 1 TB+256 GB 15.6'' Dizüstü Bilgisayar","9.224,00
                TL
",https://www.n11.com/urun/hp-15-ec0020nt-9et67ea-ryzen-7-3750h-6-gb-gtx1660ti-8-gb-1-tb256-gb-156-dizustu-bilgisayar-1598237?magaza=mtbilisim,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-ec0020nt-9et67ea-ryzen-7-3750h-8-gb-1-tb256-gb-ssd-6-gb-gtx1660ti-156-dizustu-bilgisayar__0486248398231746.png
"
                                Asus X515MA-BR091T Celeron N4020 4 GB 128 GB SSD 15.6"" W10 Dizüstü Bilgisayar","2.879,99
                TL
",https://www.n11.com/urun/asus-x515ma-br091t-celeron-n4020-4-gb-128-gb-ssd-156-w10-dizustu-bilgisayar-1810735?magaza=guvenlikamiri,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-x515ma-br091t-celeron-n4020-4-gb-128-gb-ssd-156-w10-dizustu-bilgisayar__0861198232746065.jpg
"
                                HP 250 G7 197Q9EA i3-1005G1 8 GB 256 GB SSD 15.6"" W10H Dizüstü Bilgisayar","4.389,00
                TL
",https://www.n11.com/urun/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar-1981559?magaza=indirim-yeri,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar__0656328865139516.jpg
"
                Lenovo V15 82C500NNTX i5-1035G1 12 GB RAM 256 GB SSD 2 GB MX330 15.6"" Free Dos Dizüstü Bilgisayar","6.600,98
                TL
",https://www.n11.com/urun/lenovo-v15-82c500nntx-i5-1035g1-12-gb-ram-256-gb-ssd-2-gb-mx330-156-free-dos-dizustu-bilgisayar-1689055?magaza=atlantisdogu,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v15-82c500nntx-i5-1035g1-12-gb-ram-256-gb-ssd-2-gb-mx330-156-free-dos-dizustu-bilgisayar__0970624101148974.jpg
"
                                Monster Tulpar T5 V20.2 i7-10870H 16 GB 512 GB SSD 6 GB RTX3060 15.6"" Free Dos Dizüstü Bilgisayar","14.050,15
                TL
",https://www.n11.com/urun/monster-tulpar-t5-v202-i7-10870h-16-gb-512-gb-ssd-6-gb-rtx3060-156-free-dos-dizustu-bilgisayar-1806445?magaza=monster,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/monster-tulpar-t5-v202-i7-10870h-16-gb-512-gb-ssd-6-gb-rtx3060-156-free-dos-dizustu-bilgisayar__0520612158875757.png
"
                Lenovo IdeaPad 3 81W00057TX1 Ryzen 3-3250U 8 GB 256 GB SSD 14"" Free Dos HD Dizüstü Bilgisayar","3.849,99
                TL
",https://www.n11.com/urun/lenovo-ideapad-3-81w00057tx1-ryzen-3-3250u-8-gb-256-gb-ssd-14-free-dos-hd-dizustu-bilgisayar-1641583?magaza=atlantisdogu,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-ideapad-81w00057tx1-ryzen-3-3250u-14-256-gb-ssd-8-gb-ram-free-dos-dizustu-bilgisayar__0265127161148034.png
